AJ	B6	AJ	Axb1
0.06	0	0.06	0
236.88	213.95	236.88	213.15
0	0.14	0	0
0	0	0	0
0	0	0	0
0	0	0	0
10.04	4.09	10.04	3.6
0	0	0	0
16.25	17.89	16.25	14.53
17.34	32.29	17.34	34.65
44.57	40.92	44.57	33.58
0	0.07	0	0
2.99	4.46	2.99	5.69
6.34	7.26	6.34	4.21
9.65	6.98	9.65	5.38
79.34	71.02	79.34	75.82
30.3	31.47	30.3	26.64
4.35	8.51	4.35	3.98
3.38	5.31	3.38	4.9
2.67	2.84	2.67	2.73
26.04	23.15	26.04	25.35
14.8	17.73	14.8	11.3
3.05	6.3	3.05	3.34
20.03	23.33	20.03	18.46
0.06	0	0.06	0
0.01	0.36	0.01	0.12
0	0.29	0	0
0.59	1.07	0.59	1.19
0	0	0	0
3.87	8.98	3.87	11.27
41.59	36.19	41.59	33.11
89.47	83.36	89.47	94.54
0	0.72	0	1.16
64.28	87.5	64.28	84.48
0.13	0.21	0.13	0
6.8	8.23	6.8	8.28
0.11	0	0.11	0
6.5	13.62	6.5	8.95
45.11	48.54	45.11	58.42
41.42	25.63	41.42	15.05
4.46	3.99	4.46	3.92
19.69	23.29	19.69	19.28
4.19	3.65	4.19	4.08
1.92	3.78	1.92	1.78
0	0	0	0
76.8	108.36	76.8	145.43
6.26	9.03	6.26	14.04
0	0	0	0.32
12.28	8.53	12.28	13.72
0	0.33	0	0.51
1.79	2.23	1.79	1.45
28.25	16.51	28.25	10.52
15.07	20.94	15.07	9.85
10.89	9.68	10.89	8.97
0.19	1.03	0.19	0.65
28.94	60.85	28.94	53.52
0.3	0.79	0.3	0.09
11.95	16.36	11.95	19.9
8.03	7.12	8.03	9.67
0.58	1.16	0.58	0.39
19.18	19.01	19.18	18.57
16.71	15.74	16.71	10.1
39.27	41.28	39.27	49.16
8.21	5.47	8.21	4.6
38.85	36.9	38.85	26.62
14.94	15.02	14.94	12.37
36.05	26.63	36.05	30.41
14.49	23.24	14.49	31.95
0	0	0	0
26.85	44.77	26.85	56.42
13.24	12.73	13.24	14.12
0	0	0	0
0	0	0	0
10.97	15.44	10.97	15.06
7.67	8.66	7.67	6.29
0	0.14	0	0
4.13	6.13	4.13	6.56
19.02	23.29	19.02	12.59
0.27	0.25	0.27	0
70.72	74.34	70.72	83.79
36.54	32.87	36.54	28.27
51.98	36.97	51.98	23.83
15.57	20.74	15.57	18.77
232.51	289.34	232.51	284.53
0.92	0.75	0.92	0
10.01	9	10.01	9.03
0.28	0	0.28	0
59.93	61.44	59.93	51.96
8.56	7.45	8.56	6.24
14.63	15	14.63	11.89
82.99	64.13	82.99	54.07
12.9	25.14	12.9	25.34
62.54	78.07	62.54	89.53
53.6	52.17	53.6	43.63
0.23	0.38	0.23	0.12
0.23	0.36	0.23	0
0.66	1.2	0.66	1.13
0.31	0.12	0.31	0.33
37.71	45.46	37.71	43.04
46.77	29.21	46.77	30.4
33.65	32.06	33.65	28
0.16	0.17	0.16	0
0	0	0	0
0.38	0.12	0.38	0
3.23	3.56	3.23	2.12
41.4	34.72	41.4	44
19.96	36.9	19.96	17.17
23.69	23.18	23.69	28.34
0	0	0	0
0	0	0	0.23
0	0	0	0.24
0	0	0	0
0.3	0.12	0.3	0.25
0	0.09	0	0.02
0.63	0.63	0.63	0.95
13.06	13.8	13.06	13.78
17.52	15.73	17.52	16.63
0	0	0	0
27.95	55.26	27.95	41.03
48.89	71.74	48.89	97.33
16.73	18	16.73	20.46
851.76	1309.25	851.76	1796.85
23.52	19.73	23.52	18.13
